# ----------------------------------------
# view1
# User Network data
# 20120514-20211112
# ----------------------------------------

Page Title,Service Provider,City,Date,User Type,Avg. Session Duration,Social Actions,Bounce Rate
Kumaran1987: JSP and Servlet Form Submission without page refresh show results on the same page using Jquery AJAX,(not set),Chennai,20201123,New Visitor,01:04:08,0,0.00%
Kumaran1987: Digital Marketing SEO Analytics and Digital Transformation via Google Analytics Part 1 Video Podcast,(not set),(not set),20210619,New Visitor,00:54:45,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,(not set),Nagpur,20200206,New Visitor,00:50:36,0,0.00%
Building Complex ER mapping - Database Diagrams in SQL Server,(not set),Chennai,20211107,Returning Visitor,00:40:00,0,0.00%
Kumaran1987,(not set),(not set),20210621,Returning Visitor,00:34:40,0,0.00%
Kumaran1987,(not set),Chennai,20200521,Returning Visitor,00:33:43,0,0.00%
Kumaran1987: JSP and Servlet Form Submission without page refresh show results on the same page using Jquery AJAX,(not set),Bengaluru,20210618,Returning Visitor,00:33:41,0,0.00%
Kumaran1987: How to use Multi-Select Dropdown List in html select input using Jquery in JSP page with limited selections ?,(not set),Kuala Lumpur,20200928,New Visitor,00:33:11,0,0.00%
Compress Data using ASCII Values and Decompress data to get back original ASCII,(not set),(not set),20210621,Returning Visitor,00:30:42,0,0.00%
Kumaran1987: JSP and Servlet Form Submission without page refresh show results on the same page using Jquery AJAX,(not set),Hyderabad,20210129,New Visitor,00:30:05,0,0.00%
Kumaran1987: Print and PrintPreview in C# Windows Application,vision systems,Melbourne,20200130,New Visitor,00:29:25,0,0.00%
Kumaran1987: JSP and Servlet Form Submission without page refresh show results on the same page using Jquery AJAX,(not set),Bhiwandi,20200208,New Visitor,00:29:08,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,reliance jio infocomm limited,Chennai,20200130,New Visitor,00:29:06,0,0.00%
Kumaran1987,(not set),Chennai,20201120,New Visitor,00:28:57,0,0.00%
Kumaran1987: My Innovations,(not set),Chennai,20200522,Returning Visitor,00:28:56,0,0.00%
Kumaran1987: Jsp / Java Password Encrypt and Decrypt Example,for abc igw,Karachi,20191120,New Visitor,00:28:46,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,(not set),Mumbai,20200223,New Visitor,00:28:45,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,(not set),Bengaluru,20200315,New Visitor,00:28:17,0,0.00%
Kumaran1987: JSP and Servlet Form Submission without page refresh show results on the same page using Jquery AJAX,(not set),Hyderabad,20210130,Returning Visitor,00:28:15,0,0.00%
"SQL Script : Adventure works database setup and Select query, list of tables #100daysofsql",(not set),Hyderabad,20211031,Returning Visitor,00:28:01,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,pakistan telecommuication company limited,Rawalpindi,20191123,New Visitor,00:27:58,0,0.00%
Kumaran1987: JSP and Servlet Form Submission without page refresh show results on the same page using Jquery AJAX,reliance jio infocomm limited,Patna,20191113,Returning Visitor,00:27:57,0,0.00%
Kumaran1987: Jsp / Java Password Encrypt and Decrypt Example,(not set),Jaipur,20210615,New Visitor,00:27:09,0,0.00%
"Kumaran1987: ""How to maintain or retain tabs in same tab after button click events or postback?"" using JQuery in ASP.NET C#",(not set),Sydney,20200326,New Visitor,00:26:54,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,myanma post and telecommunication,Mandalay,20191208,New Visitor,00:26:53,0,0.00%
Kumaran1987: JSP and Servlet Form Submission without page refresh show results on the same page using Jquery AJAX,(not set),Burnaby,20210604,New Visitor,00:26:44,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,reliance jio infocomm limited,Mumbai,20191020,New Visitor,00:26:40,0,0.00%
3AaaS - AI Automation Architecture as a Service's Common Functionalities,(not set),(not set),20210911,Returning Visitor,00:26:33,0,0.00%
Kumaran1987,(not set),Bengaluru,20200211,New Visitor,00:26:33,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,reliance jio infocomm limited,Lucknow,20200102,New Visitor,00:26:21,0,0.00%
Kumaran1987: Jsp / Java Password Encrypt and Decrypt Example,(not set),Ujjain,20210606,New Visitor,00:26:11,0,0.00%
Kumaran1987: Login and Registration forms in C# windows application with Back end Microsoft SQL Server for data access,(not set),Ahmedabad,20200903,New Visitor,00:26:07,0,0.00%
