Date,Users,Sessions
"Oct 18, 2012",0,21
"Oct 19, 2012",0,1
"Oct 20, 2012",0,1
"Oct 21, 2012",0,1
"Oct 25, 2012",0,19
"Oct 26, 2012",0,10
"Oct 27, 2012",0,2
"Oct 29, 2012",0,3
"Oct 30, 2012",0,5
"Oct 31, 2012",0,4
"Nov 1, 2012",0,2
"Nov 2, 2012",0,21
"Nov 3, 2012",0,19
"Nov 4, 2012",0,13
"Nov 5, 2012",0,14
"Nov 6, 2012",0,9
"Nov 7, 2012",0,2
"Nov 8, 2012",0,2
"Nov 9, 2012",0,3
"Nov 10, 2012",0,4
"Nov 11, 2012",0,5
"Nov 12, 2012",0,12
"Nov 13, 2012",0,9
"Nov 14, 2012",0,7
"Nov 15, 2012",0,2
"Nov 16, 2012",0,11
"Nov 17, 2012",0,30
"Nov 18, 2012",0,7
"Nov 19, 2012",0,2
"Nov 20, 2012",0,3
"Nov 21, 2012",0,7
"Nov 22, 2012",0,7
"Nov 23, 2012",0,1
"Nov 24, 2012",0,8
"Nov 25, 2012",0,5
"Nov 26, 2012",0,20
"Nov 27, 2012",0,9
"Nov 28, 2012",0,24
"Nov 29, 2012",0,13
"Nov 30, 2012",0,16
"Dec 1, 2012",0,18
"Dec 2, 2012",0,16
"Dec 3, 2012",0,16
"Dec 4, 2012",0,13
"Dec 5, 2012",0,19
"Dec 6, 2012",0,25
"Dec 7, 2012",0,21
"Dec 8, 2012",0,32
"Dec 9, 2012",0,190
"Dec 10, 2012",0,176
"Dec 11, 2012",0,141
"Dec 12, 2012",0,48
"Dec 13, 2012",0,49
"Dec 14, 2012",0,32
"Dec 15, 2012",0,23
"Dec 16, 2012",0,24
"Dec 17, 2012",0,16
"Dec 18, 2012",0,41
"Dec 19, 2012",0,45
"Dec 20, 2012",0,15
"Dec 21, 2012",0,71
"Dec 22, 2012",0,186
"Dec 23, 2012",0,45
"Dec 24, 2012",0,5
"Dec 25, 2012",0,2
"Dec 26, 2012",0,5
"Dec 27, 2012",0,3
"Dec 28, 2012",0,1
"Dec 29, 2012",0,7
"Dec 31, 2012",0,1
"Jan 1, 2013",0,2
"Jan 2, 2013",0,6
"Jan 3, 2013",0,4
"Jan 4, 2013",0,1
"Jan 5, 2013",0,10
"Jan 7, 2013",0,2
"Jan 8, 2013",0,1
"Jan 10, 2013",0,3
"Jan 11, 2013",0,6
"Jan 12, 2013",0,4
"Jan 13, 2013",0,5
"Jan 16, 2013",0,4
"Jan 17, 2013",0,2
"Jan 18, 2013",0,10
"Jan 19, 2013",0,1
"Jan 20, 2013",0,1
"Jan 21, 2013",0,1
"Jan 23, 2013",0,5
"Jan 25, 2013",0,17
"Jan 26, 2013",0,7
"Jan 27, 2013",0,14
"Jan 28, 2013",0,3
"Jan 29, 2013",0,21
"Jan 30, 2013",0,17
"Jan 31, 2013",0,2
"Feb 1, 2013",0,14
"Feb 2, 2013",0,5
"Feb 4, 2013",0,11
"Feb 5, 2013",0,20
"Feb 6, 2013",0,2
"Feb 7, 2013",0,4
"Feb 8, 2013",0,2
"Feb 10, 2013",0,1
"Feb 11, 2013",0,7
"Feb 12, 2013",0,3
"Feb 13, 2013",0,2
"Feb 15, 2013",0,2
"Feb 16, 2013",0,4
"Feb 17, 2013",0,1
"Feb 18, 2013",0,2
"Feb 20, 2013",0,1
"Feb 21, 2013",0,1
"Feb 23, 2013",0,1
"Mar 1, 2013",0,1
"Mar 7, 2013",0,1
"Mar 14, 2013",0,2
"Mar 16, 2013",0,1
"Mar 19, 2013",0,10
"Mar 20, 2013",0,1
"Mar 22, 2013",0,1
"Mar 23, 2013",0,1
"Mar 26, 2013",0,3
"Mar 27, 2013",0,1
"Mar 28, 2013",0,1
"Mar 31, 2013",0,2
"Apr 4, 2013",0,9
"Apr 5, 2013",0,6
"Apr 6, 2013",0,3
"Apr 7, 2013",0,1
"Apr 8, 2013",0,2
"Apr 9, 2013",0,10
"Apr 10, 2013",0,17
"Apr 11, 2013",0,9
"Apr 12, 2013",0,18
"Apr 13, 2013",0,10
"Apr 14, 2013",0,3
"Apr 15, 2013",0,14
"Apr 16, 2013",0,17
"Apr 17, 2013",0,17
"Apr 18, 2013",0,15
"Apr 19, 2013",0,11
"Apr 20, 2013",0,7
"Apr 21, 2013",0,7
"Apr 22, 2013",0,15
"Apr 23, 2013",0,18
"Apr 24, 2013",0,17
"Apr 25, 2013",0,22
"Apr 26, 2013",0,11
