Date,Pageviews,Unique Pageviews
"Mar 25, 2012",39,22
"Mar 26, 2012",77,48
"Mar 27, 2012",218,70
"Mar 28, 2012",189,116
"Mar 29, 2012",52,41
"Mar 30, 2012",18,15
"Mar 31, 2012",17,13
"Apr 1, 2012",2,2
"Apr 2, 2012",8,8
"Apr 3, 2012",7,6
"Apr 4, 2012",2,2
"Apr 6, 2012",3,2
"Apr 9, 2012",3,3
"Apr 10, 2012",3,3
"Apr 11, 2012",2,1
"Apr 12, 2012",2,2
"Apr 13, 2012",3,3
"Apr 14, 2012",5,2
"Apr 16, 2012",1,1
"Apr 17, 2012",2,2
"Apr 18, 2012",3,3
"Apr 19, 2012",3,3
"Apr 20, 2012",1,1
"Apr 22, 2012",6,4
"Apr 23, 2012",1,1
"Apr 25, 2012",1,1
"Apr 29, 2012",6,5
"May 2, 2012",1,1
"May 3, 2012",1,1
"May 4, 2012",1,1
"May 5, 2012",9,6
"May 6, 2012",6,6
"May 7, 2012",6,6
"May 8, 2012",10,7
"May 9, 2012",1,1
"May 10, 2012",1,1
"May 11, 2012",2,2
"May 12, 2012",6,3
"May 13, 2012",2,2
"May 15, 2012",1,1
"May 17, 2012",4,4
"May 20, 2012",1,1
"May 21, 2012",2,2
"May 22, 2012",3,1
"May 23, 2012",3,1
"May 25, 2012",1,1
"May 26, 2012",5,5
"May 27, 2012",1,1
"May 28, 2012",1,1
"May 29, 2012",1,1
"Jun 2, 2012",2,2
"Jun 3, 2012",3,3
"Jun 4, 2012",4,3
"Jun 5, 2012",2,2
"Jun 7, 2012",2,2
"Jun 8, 2012",1,1
"Jun 10, 2012",7,6
"Jun 11, 2012",1,1
"Jun 13, 2012",2,2
"Jun 14, 2012",2,1
"Jun 15, 2012",1,1
"Jun 16, 2012",4,4
"Jun 18, 2012",3,3
"Jun 19, 2012",2,2
"Jun 20, 2012",1,1
"Jun 22, 2012",1,1
"Jun 25, 2012",2,2
"Jun 27, 2012",1,1
"Jun 28, 2012",7,5
"Jun 29, 2012",58,32
"Jun 30, 2012",28,25
"Jul 1, 2012",89,53
"Jul 2, 2012",9,9
"Jul 3, 2012",12,8
"Jul 4, 2012",3,2
"Jul 5, 2012",12,12
"Jul 6, 2012",11,8
"Jul 7, 2012",2,2
"Jul 8, 2012",3,3
"Jul 9, 2012",8,3
"Jul 10, 2012",1,1
"Jul 12, 2012",4,4
"Jul 13, 2012",2,1
"Jul 14, 2012",1,1
"Jul 16, 2012",7,5
"Jul 17, 2012",4,2
"Jul 18, 2012",2,2
"Jul 19, 2012",1,1
"Jul 20, 2012",1,1
"Jul 22, 2012",1,1
"Jul 23, 2012",5,2
"Jul 24, 2012",39,31
"Jul 25, 2012",8,5
"Jul 27, 2012",1,1
"Jul 28, 2012",1,1
"Jul 29, 2012",1,1
"Jul 30, 2012",2,2
"Jul 31, 2012",1,1
"Aug 1, 2012",9,8
"Aug 2, 2012",6,5
"Aug 3, 2012",3,2
"Aug 4, 2012",1,1
"Aug 6, 2012",4,4
"Aug 7, 2012",2,1
"Aug 9, 2012",1,1
"Aug 10, 2012",1,1
"Aug 12, 2012",1,1
"Aug 15, 2012",3,2
"Aug 16, 2012",1,1
"Aug 18, 2012",3,3
"Aug 21, 2012",4,4
"Aug 22, 2012",1,1
"Aug 24, 2012",1,1
"Aug 25, 2012",1,1
"Aug 31, 2012",1,1
"Sep 3, 2012",6,4
"Sep 6, 2012",1,1
"Sep 8, 2012",2,2
"Sep 13, 2012",3,3
"Sep 15, 2012",1,1
"Sep 16, 2012",6,5
"Sep 17, 2012",1,1
"Sep 18, 2012",1,1
"Sep 19, 2012",10,10
"Sep 20, 2012",3,2
"Sep 21, 2012",1,1
"Sep 23, 2012",1,1
"Sep 24, 2012",3,3
"Sep 30, 2012",1,1
"Oct 1, 2012",3,2
"Oct 2, 2012",5,2
"Oct 3, 2012",11,9
"Oct 4, 2012",50,45
"Oct 5, 2012",34,23
"Oct 6, 2012",23,20
"Oct 7, 2012",8,7
"Oct 8, 2012",12,4
"Oct 9, 2012",19,11
"Oct 10, 2012",7,7
"Oct 12, 2012",18,15
"Oct 13, 2012",49,37
"Oct 14, 2012",59,48
"Oct 15, 2012",8,6
"Oct 16, 2012",5,5
"Oct 17, 2012",6,5
"Oct 18, 2012",30,25
"Oct 19, 2012",1,1
"Oct 20, 2012",1,1
"Oct 21, 2012",2,2
"Oct 25, 2012",37,31
"Oct 26, 2012",15,15
"Oct 27, 2012",4,3
"Oct 29, 2012",5,5
"Oct 30, 2012",9,9
"Oct 31, 2012",5,5
"Nov 1, 2012",2,2
"Nov 2, 2012",31,30
"Nov 3, 2012",37,26
"Nov 4, 2012",20,17
"Nov 5, 2012",24,16
"Nov 6, 2012",17,14
"Nov 7, 2012",3,3
"Nov 8, 2012",3,3
"Nov 9, 2012",3,3
"Nov 10, 2012",16,8
